room_id	name	width	length	height	volume	adjacency_in	lambda
-2	source	NaN	NaN	NaN	25.0	[-2]	[0.0]
1	patient room 1	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
2	patient room 2	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
3	patient room 3	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
4	patient room 4	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
5	patient room 5	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
6	patient room 6	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
7	patient room 7	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
8	patient room 8	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
9	patient room 9	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
10	patient room 10	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
11	patient room 11	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
12	patient room 12	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
13	patient room 13	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
14	patient room 14	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
15	patient room 15	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
16	patient room 16	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
17	patient room 17	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
18	patient room 18	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
19	patient room 19	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
20	patient room 20	NaN	NaN	NaN	37.5	[-2, -100]	[216.0, 0.0]
-10	break room	NaN	NaN	NaN	100.0	[-2, -100]	[192.0, 0.0]
-100	external zone	NaN	NaN	NaN	250.0	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -10]	[144.0, 144.0, 144.0, 144.0, 144.0, 144.0, 144.0, 144.0, 144.0, 144.0, 144.0, 144.0, 144.0, 144.0, 144.0, 144.0, 144.0, 144.0, 144.0, 144.0, 48.0]
-1	sink	NaN	NaN	NaN	25.0	[-100]	[451.2]
