AR,AR_nurse,AR_patient
88.0,52.0,36.0
2.0,2.0,0.0
2.0,2.0,0.0
83.0,53.0,30.0
49.0,36.0,13.0
77.0,48.0,29.0
60.0,41.0,19.0
88.0,53.0,35.0
89.0,53.0,36.0
1.0,1.0,0.0
80.0,49.0,31.0
89.0,53.0,36.0
89.0,53.0,36.0
85.0,50.0,35.0
89.0,53.0,36.0
89.0,53.0,36.0
0.0,0.0,0.0
89.0,53.0,36.0
89.0,53.0,36.0
89.0,53.0,36.0
89.0,53.0,36.0
70.0,44.0,26.0
89.0,53.0,36.0
89.0,53.0,36.0
89.0,53.0,36.0
88.0,52.0,36.0
88.0,53.0,35.0
89.0,53.0,36.0
89.0,53.0,36.0
64.0,44.0,20.0
79.0,53.0,26.0
89.0,53.0,36.0
88.0,52.0,36.0
52.0,28.0,24.0
88.0,53.0,35.0
75.0,49.0,26.0
85.0,53.0,32.0
89.0,53.0,36.0
89.0,53.0,36.0
87.0,53.0,34.0
0.0,0.0,0.0
89.0,53.0,36.0
89.0,53.0,36.0
89.0,53.0,36.0
1.0,1.0,0.0
89.0,53.0,36.0
0.0,0.0,0.0
89.0,53.0,36.0
84.0,52.0,32.0
89.0,53.0,36.0
89.0,53.0,36.0
1.0,1.0,0.0
89.0,53.0,36.0
89.0,53.0,36.0
89.0,53.0,36.0
83.0,52.0,31.0
89.0,53.0,36.0
87.0,53.0,34.0
89.0,53.0,36.0
88.0,53.0,35.0
84.0,51.0,33.0
87.0,53.0,34.0
51.0,31.0,20.0
86.0,53.0,33.0
89.0,53.0,36.0
88.0,53.0,35.0
82.0,52.0,30.0
89.0,53.0,36.0
58.0,36.0,22.0
2.0,2.0,0.0
87.0,53.0,34.0
6.0,5.0,1.0
88.0,53.0,35.0
87.0,52.0,35.0
84.0,51.0,33.0
89.0,53.0,36.0
89.0,53.0,36.0
65.0,41.0,24.0
89.0,53.0,36.0
89.0,53.0,36.0
87.0,53.0,34.0
0.0,0.0,0.0
89.0,53.0,36.0
85.0,51.0,34.0
89.0,53.0,36.0
89.0,53.0,36.0
89.0,53.0,36.0
89.0,53.0,36.0
88.0,53.0,35.0
2.0,2.0,0.0
89.0,53.0,36.0
89.0,53.0,36.0
65.0,41.0,24.0
88.0,52.0,36.0
2.0,2.0,0.0
89.0,53.0,36.0
88.0,53.0,35.0
1.0,1.0,0.0
22.0,15.0,7.0
80.0,49.0,31.0
88.0,53.0,35.0
85.0,53.0,32.0
88.0,53.0,35.0
2.0,2.0,0.0
0.0,0.0,0.0
89.0,53.0,36.0
89.0,53.0,36.0
83.0,50.0,33.0
89.0,53.0,36.0
88.0,53.0,35.0
53.0,36.0,17.0
88.0,53.0,35.0
5.0,5.0,0.0
89.0,53.0,36.0
88.0,53.0,35.0
89.0,53.0,36.0
89.0,53.0,36.0
2.0,2.0,0.0
89.0,53.0,36.0
80.0,49.0,31.0
86.0,53.0,33.0
82.0,51.0,31.0
89.0,53.0,36.0
64.0,42.0,22.0
89.0,53.0,36.0
87.0,53.0,34.0
88.0,53.0,35.0
89.0,53.0,36.0
89.0,53.0,36.0
89.0,53.0,36.0
89.0,53.0,36.0
89.0,53.0,36.0
89.0,53.0,36.0
88.0,53.0,35.0
89.0,53.0,36.0
67.0,41.0,26.0
0.0,0.0,0.0
89.0,53.0,36.0
71.0,43.0,28.0
88.0,52.0,36.0
13.0,10.0,3.0
83.0,53.0,30.0
89.0,53.0,36.0
86.0,53.0,33.0
62.0,40.0,22.0
85.0,50.0,35.0
79.0,52.0,27.0
88.0,53.0,35.0
89.0,53.0,36.0
89.0,53.0,36.0
81.0,52.0,29.0
3.0,2.0,1.0
1.0,1.0,0.0
14.0,10.0,4.0
1.0,1.0,0.0
87.0,53.0,34.0
89.0,53.0,36.0
89.0,53.0,36.0
89.0,53.0,36.0
0.0,0.0,0.0
78.0,51.0,27.0
86.0,53.0,33.0
23.0,16.0,7.0
89.0,53.0,36.0
89.0,53.0,36.0
