p,f,beta,attack_rate,attack_rate_patient,attack_rate_nurse
0.0,0.0,100.0,0.008,0.0,0.008
0.0,0.0,250.0,0.021,0.0,0.021
0.0,0.0,500.0,0.037,0.0,0.037
0.0,0.0,1000.0,0.099,0.001,0.098
0.0,0.0,2500.0,0.255,0.001,0.254
0.0,0.0,5000.0,0.612,0.019,0.593
0.0,0.0,10000.0,1.724,0.098,1.626
0.0,0.0,25000.0,6.088,0.571,5.517
0.0,0.0,50000.0,16.373,2.509,13.864
0.0,0.0,100000.0,30.982,6.877,24.105
1.0,0.0,100.0,0.265,0.255,0.01
1.0,0.0,250.0,0.445,0.421,0.024
1.0,0.0,500.0,0.783,0.709,0.074
1.0,0.0,1000.0,1.046,0.918,0.128
1.0,0.0,2500.0,1.696,1.244,0.452
1.0,0.0,5000.0,2.479,1.482,0.997
1.0,0.0,10000.0,4.121,1.822,2.299
1.0,0.0,25000.0,12.665,3.26,9.405
1.0,0.0,50000.0,26.332,6.705,19.627
1.0,0.0,100000.0,46.641,13.982,32.659
