event_name	location_name	location_id	start_time	finish_time	agent_id
Admission	room 14	14	[1, 1, 0]	[1, 1, 60]	1
Wait	room 14	14	[1, 1, 65]	[1, 1, 205]	1
Vitals	room 14	14	[1, 1, 210]	[1, 1, 220]	1
Wait	room 14	14	[1, 1, 225]	[1, 1, 315]	1
Medications	room 14	14	[1, 1, 320]	[1, 1, 330]	1
Wait	room 14	14	[1, 1, 335]	[1, 1, 375]	1
Vitals	room 14	14	[1, 1, 380]	[1, 1, 390]	1
Wait	room 14	14	[1, 1, 395]	[1, 1, 480]	1
Handover	room 14	14	[1, 2, 0]	[1, 2, 5]	1
Wait	room 14	14	[1, 2, 10]	[1, 2, 55]	1
Vitals	room 14	14	[1, 2, 60]	[1, 2, 70]	1
Wait	room 14	14	[1, 2, 75]	[1, 2, 130]	1
Medications	room 14	14	[1, 2, 135]	[1, 2, 145]	1
Wait	room 14	14	[1, 2, 150]	[1, 2, 300]	1
Vitals	room 14	14	[1, 2, 305]	[1, 2, 315]	1
Wait	room 14	14	[1, 2, 320]	[1, 2, 480]	1
Handover	room 14	14	[1, 3, 0]	[1, 3, 5]	1
Wait	room 14	14	[1, 3, 10]	[1, 3, 100]	1
Vitals	room 14	14	[1, 3, 105]	[1, 3, 115]	1
Wait	room 14	14	[1, 3, 120]	[1, 3, 160]	1
Medications	room 14	14	[1, 3, 165]	[1, 3, 175]	1
Wait	room 14	14	[1, 3, 180]	[1, 3, 300]	1
Vitals	room 14	14	[1, 3, 305]	[1, 3, 315]	1
Wait	room 14	14	[1, 3, 320]	[1, 3, 345]	1
Bath	room 14	14	[1, 3, 350]	[1, 3, 380]	1
Wait	room 14	14	[1, 3, 385]	[1, 3, 480]	1
Handover	room 14	14	[2, 1, 0]	[2, 1, 5]	1
Wait	room 14	14	[2, 1, 10]	[2, 1, 70]	1
Vitals	room 14	14	[2, 1, 75]	[2, 1, 85]	1
Wait	room 14	14	[2, 1, 90]	[2, 1, 130]	1
Medications	room 14	14	[2, 1, 135]	[2, 1, 145]	1
Wait	room 14	14	[2, 1, 150]	[2, 1, 300]	1
Vitals	room 14	14	[2, 1, 305]	[2, 1, 315]	1
Wait	room 14	14	[2, 1, 320]	[2, 1, 480]	1
Handover	room 14	14	[2, 2, 0]	[2, 2, 5]	1
Wait	room 14	14	[2, 2, 10]	[2, 2, 55]	1
Vitals	room 14	14	[2, 2, 60]	[2, 2, 70]	1
Wait	room 14	14	[2, 2, 75]	[2, 2, 130]	1
Medications	room 14	14	[2, 2, 135]	[2, 2, 145]	1
Wait	room 14	14	[2, 2, 150]	[2, 2, 300]	1
Vitals	room 14	14	[2, 2, 305]	[2, 2, 315]	1
