															
															
															
															
															
															
		volume double / volume single	ACH (patient rooms)	ACH (break room)	Prop of beds in double rooms										
															
															
															
															
															
		volume double / volume single	ACH (patient rooms)	ACH (break room)	Prop of beds in double rooms	p(AR tot >= 1)	p(AR tot. > 10)	q90 (AR total)	mean (AR total)	p(AR pat. > 10)	q90 (AR pat.)	mean (AR pat.)	p(AR nur. > 10)	q90 (AR nur.)	mean (AR nur.)
		1	6	6	0	0.171	0.052	2	2.683	0.084	0	0.035	0.171	2	0.041
		1	6	6	0.5	0.261	0.106	14	7.094	0.196	6.5	0.093	0.234	6	0.093
		1	6	6	1	0.324	0.149	45	11.058	0.308	24	0.136	0.242	20.5	0.129
		1	12	6	0	0.132	0.024	1	1.086	0.056	0	0.011	0.132	1	0.018
		1	12	6	0.5	0.216	0.056	3	2.507	0.143	1	0.034	0.184	2	0.04
		1	12	6	1	0.278	0.081	6	4.455	0.256	3	0.061	0.196	3	0.061
		2	6	6	0	0.172	0.061	3	2.713	0.095	0	0.04	0.172	2	0.044
		2	6	6	0.5	0.229	0.075	5	3.777	0.17	2	0.062	0.186	3	0.063
		2	6	6	1	0.281	0.09	7.5	4.734	0.27	3	0.064	0.187	4	0.067
		2	12	6	0	0.134	0.032	1	1.336	0.062	0	0.014	0.134	1	0.02
		2	12	6	0.5	0.176	0.041	2	1.706	0.117	1	0.026	0.137	1	0.028
		2	12	6	1	0.234	0.048	3	2.012	0.219	1.5	0.029	0.148	1	0.029
